image,ground_truth,method,low_threshold,high_threshold,blur_ksize,tolerance_px,edge_density,num_components,avg_component_length,precision,recall,f1_score
image_01.jpg,image_01.png,canny,50,150,5,1,0.07779094694982545,175,68.63428571428571,0.36225126966946963,0.2413354037267081,0.289681864327085
image_01.jpg,image_01.png,canny,50,200,5,1,0.06141151935544459,96,98.77083333333333,0.34233284117274837,0.1772360248447205,0.23355407112179438
image_01.jpg,image_01.png,canny,100,150,5,1,0.05084163962668636,307,25.570032573289904,0.3285350318471338,0.14835403726708074,0.2044060202458454
image_01.jpg,image_01.png,canny,100,200,5,1,0.035628007590624414,143,38.46853146853147,0.2886747864024723,0.09018633540372671,0.13743569667415026
image_02.jpg,image_02.png,canny,50,150,5,1,0.09314058846769127,186,77.31720430107526,0.8633613795980808,0.6146610072272571,0.7180873306319979
image_02.jpg,image_02.png,canny,50,200,5,1,0.08819243398682651,142,95.8943661971831,0.8602482191378424,0.5794424687392451,0.6924603402982163
image_02.jpg,image_02.png,canny,100,150,5,1,0.07826374181514369,302,40.01324503311258,0.8763654419066534,0.534472869106344,0.6639932421245158
image_02.jpg,image_02.png,canny,100,200,5,1,0.07205911878809075,200,55.63,0.873269818443286,0.48910175519100607,0.6270210113332791
image_03.jpg,image_03.png,canny,50,150,5,1,0.03414485657476312,70,75.31428571428572,0.6847496206373292,0.3265236470014627,0.442188972196247
image_03.jpg,image_03.png,canny,50,200,5,1,0.02838064520307511,39,112.35897435897436,0.7177088087631218,0.2863481228668942,0.40936836085721984
image_03.jpg,image_03.png,canny,100,150,5,1,0.023387154228275725,113,31.95575221238938,0.7086679590141235,0.23291077523159434,0.35059501178729363
image_03.jpg,image_03.png,canny,100,200,5,1,0.018685112143056067,59,48.898305084745765,0.7483535528596187,0.19595319356411506,0.31058185097852103
image_04.jpg,image_04.png,canny,50,150,5,1,0.15944844916807532,399,61.70175438596491,0.4747552703196718,0.5275779376498801,0.4997747344140121
image_04.jpg,image_04.png,canny,50,200,5,1,0.13806257731491375,252,84.59126984126983,0.49317446169723694,0.4834132693844924,0.48824508299305364
image_04.jpg,image_04.png,canny,100,150,5,1,0.12314039416843155,581,32.72461273666093,0.5062851733024772,0.45269498686764875,0.4779927039132712
image_04.jpg,image_04.png,canny,100,200,5,1,0.10409259007389848,311,51.67845659163987,0.5323544051767048,0.4108427543679342,0.4637714350800046
image_05.jpg,image_05.png,canny,50,150,5,1,0.09505119785493617,279,52.60215053763441,0.20714091032979012,0.3008246907409721,0.2453437798087513
image_05.jpg,image_05.png,canny,50,200,5,1,0.06962390139960234,149,72.14765100671141,0.21265116279069768,0.2292265400474822,0.22062797000389286
image_05.jpg,image_05.png,canny,100,150,5,1,0.06613946800862688,394,25.918781725888326,0.20779475127301214,0.21535674122204174,0.21150817742997172
image_05.jpg,image_05.png,canny,100,200,5,1,0.04886626381953485,175,43.114285714285714,0.21060304837640823,0.1639385230538548,0.1843637947564728
image_06.jpg,image_06.png,canny,50,150,5,1,0.010699412568571447,22,75.0909090909091,0.6313559322033898,0.10201735731938617,0.1756520578305219
image_06.jpg,image_06.png,canny,50,200,5,1,0.005090640604659296,8,98.25,0.8664122137404581,0.06552100695442267,0.12182890237469379
image_06.jpg,image_06.png,canny,100,150,5,1,0.004883388060958154,32,23.5625,0.8076923076923077,0.060233346744065754,0.11210640124087239
image_06.jpg,image_06.png,canny,100,200,5,1,0.002733142920058808,8,52.75,0.9123222748815166,0.03712857060750618,0.07135329261262041
image_07.jpg,image_07.png,canny,50,150,5,1,0.049028179869301365,119,63.61344537815126,0.6865257595772787,0.295631594517306,0.4132916261022875
image_07.jpg,image_07.png,canny,50,200,5,1,0.03710468196449505,70,81.84285714285714,0.6870308954442311,0.2269335699963843,0.3411738195440865
image_07.jpg,image_07.png,canny,100,150,5,1,0.03236378002733143,171,29.22222222222222,0.717430458274965,0.21565920520658713,0.3316304712781452
image_07.jpg,image_07.png,canny,100,200,5,1,0.02383404252563131,86,42.7906976744186,0.7279891304347826,0.16208132005390657,0.2651328087141448
image_08.jpg,image_08.png,canny,50,150,5,1,0.03257750921302323,73,68.9041095890411,0.7178926441351888,0.1734302813943721,0.2793697317037907
image_08.jpg,image_08.png,canny,50,200,5,1,0.022907882720966832,40,88.425,0.8052021487135991,0.14295464090718185,0.2428024252678324
image_08.jpg,image_08.png,canny,100,150,5,1,0.024248547613033595,102,36.705882352941174,0.7823183760683761,0.14513334733305333,0.24484397782463999
image_08.jpg,image_08.png,canny,100,200,5,1,0.01755817643668111,46,58.93478260869565,0.8572482478790114,0.12009134817303654,0.21067006437193692
image_09.jpg,image_09.png,canny,50,150,5,1,0.12203288838802857,223,84.4932735426009,0.6196794395499416,0.5409469058345541,0.577642712948724
image_09.jpg,image_09.png,canny,50,200,5,1,0.11150834515320497,164,104.98170731707317,0.6177034326537725,0.49545341477571103,0.5498655032014746
image_09.jpg,image_09.png,canny,100,150,5,1,0.10907312776471655,266,63.31203007518797,0.6172436316133246,0.49235786738896103,0.5477727966189923
image_09.jpg,image_09.png,canny,100,200,5,1,0.10035556764528727,180,86.08333333333333,0.6137463697967086,0.4526408888643211,0.5210240465754445
image_10.jpg,image_10.png,canny,50,150,5,1,0.15801711128813933,337,72.39762611275964,0.5818919583572424,0.5029035497533074,0.5395220191139267
image_10.jpg,image_10.png,canny,50,200,5,1,0.13401467607075085,202,102.43564356435644,0.6050647593272762,0.4442212810548836,0.5123152928092598
image_10.jpg,image_10.png,canny,100,150,5,1,0.10637884469660171,667,24.625187406296853,0.6181430745814307,0.379033314412959,0.4699205094021431
image_10.jpg,image_10.png,canny,100,200,5,1,0.08327018607392439,349,36.83954154727794,0.6492183246480516,0.31161856525346027,0.4211088999378826
